trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.02, 'e': 0.4231620823177488}",25,7,-52.13295877307769,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.02, 'e': 0.4147829116815814}",25,0,-33.900398109372006,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
46,False,"{'a': 0.02, 'e': 0.4065696597405991}",20,0,-30.541117202860512,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.02, 'e': 0.39851904108451414}",20,8,19.717601981132617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.3906278353585211}",35,23,-20.00799689966247,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.02, 'e': 0.38289288597511206}",25,11,6.406185534369024,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.37531109885139957}",20,4,-0.6887060403161271,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.36787944117144233}",20,11,16.26133822185098,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.02, 'e': 0.3605949401730783}",30,15,15.323883428924372,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.35345468195878016}",20,8,-17.075278363206863,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.02, 'e': 0.3464558103300574}",30,14,19.09219801105519,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.02, 'e': 0.3395955256449391}",25,0,-51.01766406889363,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.02, 'e': 0.33287108369807955}",20,0,-46.066414297985254,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
57,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,0,8.032970470925559,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,8,4.879989747984255,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,0,-15.300364820834984,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.02, 'e': 0.30727873860113125}",25,20,11.8828282441861,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.30119421191220214}",25,18,12.669846316985891,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.02, 'e': 0.2952301669240142}",20,2,-30.427203587704266,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.2893842179390506}",25,15,-2.5771724309507134,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,10,18.356927784333568,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.02, 'e': 0.27803730045319414}",25,13,19.9006092914565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.02, 'e': 0.2725317930340126}",20,15,9.50012221991819,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.26713530196585034}",25,16,-4.234513208614187,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.261845668580326}",20,12,-28.73012813039893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,9,26.47782021935339,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.02, 'e': 0.25157855305975646}",25,0,31.357509246012178,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.02, 'e': 0.24659696394160643}",20,13,14.26253601345233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,0,16.13362425160378,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.02, 'e': 0.23692775868212176}",20,0,-29.94368435832973,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.02, 'e': 0.23223627472975883}",20,2,6.500954534426761,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.22763768838381274}",20,0,5.502962007831524,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.02, 'e': 0.22313016014842982}",30,23,14.374093007974732,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.21871188695221475}",25,4,-149.0459601844284,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 4}",1
78,False,"{'a': 0.02, 'e': 0.21438110142697794}",20,12,-5.231531084156459,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.02, 'e': 0.21013607120076472}",25,14,-23.150948698265626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.02, 'e': 0.20597509820488344}",30,6,-20.17463606517492,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.02, 'e': 0.20189651799465538}",25,15,10.69380402182068,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.19789869908361465}",20,7,-15.052670062947428,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.19398004229089189}",20,7,23.03563217663358,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,0,9.705959920948551,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.02, 'e': 0.18637397603940997}",20,13,11.579584592384602,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.18268352405273466}",30,17,-55.36799370431217,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
87,False,"{'a': 0.02, 'e': 0.17906614791149322}",20,14,1.264749037469741,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.17552040061699686}",30,0,11.881010312735475,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.02, 'e': 0.17204486382305054}",25,14,19.562561983782764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.1686381472685955}",25,7,-7.844340311899765,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.02, 'e': 0.16529888822158653}",20,13,13.975905672752413,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': 0.16202575093388075}",30,0,39.78427889290267,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
