trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
189,False,"{'a': 0.02, 'e': 0.023283740374897}",20,10,14.21231059101778,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.02, 'e': 0.02282269142509297}",20,2,28.229282208132695,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.02, 'e': 0.02237077185616559}",20,13,12.922294977194962,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.02, 'e': 0.02192780089426161}",20,13,12.704600360195682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.02, 'e': 0.021493601345089923}",20,0,32.984438919623265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
194,False,"{'a': 0.02, 'e': 0.021067999523041434}",20,8,22.22119827590851,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.02, 'e': 0.020650825181712566}",20,0,3.0695641347853795,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
196,False,"{'a': 0.02, 'e': 0.02024191144580439}",25,15,-22.845987502209336,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
197,False,"{'a': 0.02, 'e': 0.019841094744370288}",20,12,13.999206349941929,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.02, 'e': 0.01944821474538539}",20,11,15.832998457046005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.02, 'e': 0.019063114291611637}",30,15,18.836156003786268,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.02, 'e': 0.018685639337732773}",20,11,17.223446820649134,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.02, 'e': 0.01831563888873418}",25,19,13.202156970108257,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
